"ID","M1_T1","M1_T2","M1_T3","M1_T4","M1_T5","M1_T6","M1_T7","M1_T8","M2_T1","M2_T2","M2_T3","M2_T4","M2_T5","M2_T6","M2_T7","M2_T8","M3_T1","M3_T2","M3_T3","M3_T4","M3_T5","M3_T6","M3_T7","M3_T8","M4_T1","M4_T2","M4_T3","M4_T4","M4_T5","M4_T6","M4_T7","M4_T8","M5_T1","M5_T2","M5_T3","M5_T4","M5_T5","M5_T6","M5_T7","M5_T8","M6_T1","M6_T2","M6_T3","M6_T4","M6_T5","M6_T6","M6_T7","M6_T8"
34,3992.17,193,421,775.62,1349.87,642.18,3296.73,0,3799.9,189,487,847.48,1256.33,533.84,3296.73,0,3341.95,187,495,698.26,1234.72,767.57,3296.73,0,14940.92,947,1660,3607.69,5295.36,2548.79,3296.73,0,16468.89,754,1911,2842.84,4549.39,2314.37,3296.73,0,18213.06,613,1880,3011.64,6196.96,2361.96,3296.73,0
60,3306.23,225,489,953.9,1118.78,919.18,6766.92,0,3521.52,234,413,940.29,1308.94,985.2,6766.92,0,3453,204,487,1031.64,1342,833.49,6766.92,0,15015.12,1033,2000,3622.41,5137.75,3686.71,6766.92,0,13414.42,1115,2321,3741.73,3410.19,3775.69,6766.92,0,10071.7,839,2208,3198.56,5230.45,4200.16,6766.92,0
63,4193.69,178,109,1283.73,542.38,1132.05,5720.46,0,3618.59,206,104,1446.09,533.52,931.05,5720.46,0,3688.26,148,103,1426.16,497.31,921.7,5720.46,0,17070.89,751,452,4369.91,2602.32,4110.16,5720.46,0,20749.22,857,391,5006.45,2425.64,3422.3,5720.46,0,19121.52,853,357,4369.77,1684.16,4612.33,5720.46,0
78,4164.03,168,480,544.32,1172.24,1051.52,6410.96,0,3768.34,141,479,638.1,1145.94,1230.37,6410.96,0,4816.91,171,531,516.03,955.39,1186.33,6410.96,0,18262.65,684,2087,1956.91,4696.2,3568.84,6410.96,0,19172.08,729,1924,1986.08,5236.27,4140.07,6410.96,0,18794.21,761,1788,2558.58,3725.76,4918.91,6410.96,0
98,3588.75,213,338,1110.96,895.09,1072.52,6523.11,0,3652.5,208,319,1230.51,950.93,946.66,6523.11,0,3743.81,174,382,1299.38,757.28,1036.89,6523.11,0,17213.36,684,1549,3664.47,4469.06,4083.92,6523.11,0,12555.77,652,1526,5222.37,3292.91,4731.02,6523.11,0,12974.66,667,1246,4137.67,3672.88,4438.53,6523.11,0
104,3401.87,196,501,1708.91,652.69,1012.41,5491.47,0,3507.99,190,430,1623.66,596.31,899.52,5491.47,0,2841.51,183,479,1405.65,767.98,1025.1,5491.47,0,16566.57,643,1526,6439.83,2114.08,4986.12,5491.47,0,14098.74,746,2379,7532.79,3127.12,3290.57,5491.47,0,16415.25,904,1589,5840.77,2058.68,3989.9,5491.47,0
111,4194.13,192,134,393.46,1872.66,1207.37,6802.57,0,3488.56,169,142,425.13,1520.38,1211.17,6802.57,0,4938.21,229,159,443.19,1976.34,1031.33,6802.57,0,14454.08,773,441,1901.76,6360.45,5741.56,6802.57,0,17477.22,588,488,1817.71,6012.95,4470.62,6802.57,0,17405.63,595,612,1204.83,8423.37,5349.37,6802.57,0
137,4171.62,240,637,1003.64,977.72,1119.09,6520.03,0,4137.86,192,733,1191.38,1163.88,1112.97,6520.03,0,4057.87,219,661,908.45,994.26,1273.21,6520.03,0,15339.84,895,2789,3428.84,3121.69,3823.12,6520.03,0,17799.2,1187,2334,3169.37,3599.72,5150.35,6520.03,0,20756.9,870,2410,4313.62,4401.77,4283.16,6520.03,0
148,3142.78,187,531,654.61,1051.13,875.16,7042.13,0,2794.03,170,532,594.29,962.93,914.48,7042.13,0,3345.19,151,510,752.99,992.52,945.1,7042.13,0,14264.13,770,2163,3058.69,4191.83,3553.36,7042.13,0,15023.06,907,2281,2807.23,4203.21,3798.54,7042.13,0,14696.47,601,2621,2552.34,4660.87,3641.69,7042.13,0
163,3885.61,192,468,1461.26,1469.28,890.17,5532.2,0,4062.72,223,513,1459.07,1633.14,1028.84,5532.2,0,3567.45,210,512,1325.32,1179.22,751.41,5532.2,0,14516.66,831,1948,6878.7,5252.37,4020.13,5532.2,0,12850.07,952,1618,6721.32,6532.46,4158.2,5532.2,0,19365.62,794,1728,6695.61,4839.56,4176.39,5532.2,0
167,3670.01,181,164,617.55,613.23,1048.66,7027.04,0,4018.8,206,151,605.61,707.08,1214.27,7027.04,0,3766.65,198,132,634.21,552.23,1057.96,7027.04,0,15055.57,662,559,2566.02,1870.74,3367.34,7027.04,0,17702.38,693,747,2605.64,2923.7,3215.52,7027.04,0,15095.76,781,735,2720.67,2086.23,3720.21,7027.04,0
170,4177.79,208,207,531.38,345.99,971.48,4213.55,0,3814.62,167,219,564.73,412.38,875.95,4213.55,0,3407.32,181,245,595.06,380.12,1155.7,4213.55,0,13751.96,780,863,1970.33,1115,3432.97,4213.55,0,16664.97,1005,758,2549.61,1636.51,3117.68,4213.55,0,13328.94,741,761,2297.74,1382.64,3611.13,4213.55,0
183,4210.24,208,438,1003.57,1830.8,751.74,5178.5,0,3721.09,199,393,1071.41,1473.64,736.76,5178.5,0,5050.13,230,360,1079.76,1889.47,818.31,5178.5,0,15047.45,720,1518,4780.6,7777.19,3123.07,5178.5,0,13277.43,1035,1437,5015.97,6422.49,2395.18,5178.5,0,15577.04,1021,1346,3500.99,7736.02,2586.83,5178.5,0
195,4166.33,188,403,1169.46,1690.82,1175.39,4757.83,0,4369.52,168,353,1330.12,2007.16,1076.04,4757.83,0,3833.8,153,430,1392.33,1670.09,1098.6,4757.83,0,14146.09,816,1219,4067.12,8098.96,4087.87,4757.83,0,14811.37,651,1857,3554.67,6280.17,3728.75,4757.83,0,20593.67,657,1254,4644.39,7770.34,5540.63,4757.83,0
223,4529.12,195,397,1098.81,1025.3,947.83,4817.18,0,3800.28,163,393,1199.81,821.16,1024.28,4817.18,0,4912.95,157,462,1215.89,1073.22,873.84,4817.18,0,17817.69,725,1865,4431.99,4379.25,4505.94,4817.18,0,15929.71,710,1350,4599.81,3142.98,4651.88,4817.18,0,19713.64,813,1550,4551.14,4482.22,4648.88,4817.18,0
236,3881.38,206,213,717.89,519.04,959.02,4582.34,0,4033.7,181,182,855.16,607.2,980.79,4582.34,0,4275.15,247,172,786.92,602.81,1132.54,4582.34,0,14385.69,686,647,2552.34,2271.74,4552.12,4582.34,0,14394.63,699,1037,2524.83,2380.09,3072.13,4582.34,0,15380.75,877,1035,2445.58,1852.08,3212.38,4582.34,0
244,3898.81,193,415,1658.16,787.01,1000.27,6179.58,0,3409.95,226,357,1962.76,642.67,1113.35,6179.58,0,3724,183,452,1838.78,681.13,915.04,6179.58,0,13370.26,784,1658,5717.41,3786.03,4782.31,6179.58,0,18441.28,905,1930,6614.33,2728.79,4643.57,6179.58,0,15280.79,738,2052,5269.33,3496.95,3827.65,6179.58,0
252,4116.24,183,596,1796.08,219.14,978.36,5760.41,0,4708.58,209,559,1870.78,241.44,900.99,5760.41,0,4329.21,182,644,1858.48,179.01,1154.44,5760.41,0,13500.82,850,2399,8461.94,814.05,3097.06,5760.41,0,14433.59,669,2421,6066.1,766.63,3587.88,5760.41,0,15633.2,904,2718,8407.93,1091.86,3674.21,5760.41,0
260,4469.51,198,459,1887.44,650.16,1132.65,6821.75,0,5163.4,222,432,1528.1,762.83,977.09,6821.75,0,4354.8,221,511,1979.56,593.23,1205.54,6821.75,0,14527.99,601,1658,7969.53,3170.99,3425.57,6821.75,0,18769.54,693,1479,8115.56,3193.1,3915.78,6821.75,0,19191.61,891,2079,9085.75,2462.14,4439.47,6821.75,0
271,4046.64,200,557,1559.47,2097.28,1147.57,6308.56,0,4635.42,211,478,1814.24,2515.02,1311.28,6308.56,0,4204.87,167,546,1558.57,2265.52,1321.33,6308.56,0,18771.62,610,1740,7311.92,10289.44,5514.58,6308.56,0,12821.01,601,2344,6174.71,8436.45,4765.17,6308.56,0,18323.24,670,2366,6144.13,9522.42,5692.91,6308.56,0
272,3435.34,191,349,805.49,795.45,1021.2,5350.81,0,3484.86,183,404,654.49,859.86,1017.37,5350.81,0,3114.43,213,396,860.72,735.43,821.16,5350.81,0,13327.46,687,1448,3857.34,3688.04,3131.16,5350.81,0,15420.96,836,1447,2635.71,3150.45,4362.98,5350.81,0,11430.57,820,1062,2416.63,2733.55,5098.17,5350.81,0
280,4603.12,212,374,439.46,1100.72,873.8,4130.5,0,4759.1,180,304,397.09,1145.83,912.7,4130.5,0,5322.12,195,303,490.02,908.18,1030.01,4130.5,0,21238.53,1027,1659,1991.31,3347.94,3487.2,4130.5,0,15894.25,1034,1425,1755.54,5275.78,3225,4130.5,0,17955.48,983,1729,1773.76,3990.57,3646.57,4130.5,0
283,4024.06,192,514,1127.88,1390.63,1130,5080,0,3957.91,156,462,1084.43,1237.46,1017.47,5080,0,3666.03,174,558,1239.75,1352.94,1206.55,5080,0,16298.15,880,2362,5309.78,4376.27,4160.19,5080,0,19558.59,784,1758,5236.13,5092.35,4588.84,5080,0,17847.94,743,2310,3880.22,6926.76,4492.15,5080,0
285,4420.14,203,317,309.72,662.81,833.17,6392.23,0,4953.9,238,310,263.01,710.09,841.23,6392.23,0,5057.54,218,378,282.55,696.37,849.7,6392.23,0,15082.63,697,1497,1190.76,2617.93,2659.22,6392.23,0,18771.92,897,1269,1319.29,2601.62,3241.03,6392.23,0,17424.16,773,1232,973.87,2842.76,3613.62,6392.23,0
298,4409.72,197,298,1115.58,1892.68,821.45,4406.98,0,3858.92,168,314,1303.24,1726.86,680.65,4406.98,0,4681.15,171,351,1024.68,2077.39,806.18,4406.98,0,17984.97,636,1151,5461.48,7010.04,2976.13,4406.98,0,16074.24,698,1339,3413.99,8985.82,3122.34,4406.98,0,19149.89,862,1046,5359.88,6013.91,3335.81,4406.98,0
300,3771.13,207,317,1118.19,1081.76,942.65,5989.21,0,3867.29,225,295,1086.94,1138,853.53,5989.21,0,3922.86,168,275,920.15,923.7,763.79,5989.21,0,12298.48,985,1207,4478.27,4445.5,3812.61,5989.21,0,17456.1,997,1295,4134.97,4438.58,3757.63,5989.21,0,14919.29,963,1119,4321.35,4155.59,3199.45,5989.21,0
316,3459.85,201,504,255.3,214.77,1149.34,4388.59,0,3135.72,213,472,271.68,212.09,1361.66,4388.59,0,3972.51,175,518,263.61,205.83,1282.56,4388.59,0,12960.96,709,2307,833.86,689.35,5729.5,4388.59,0,17026.77,798,1911,1090.15,672.46,4155.91,4388.59,0,10991.61,985,1874,1117.06,1005.17,5104.85,4388.59,0
331,4038.4,205,451,494.4,915.93,716.47,5456.55,0,3391.54,217,412,402.61,749.45,850.3,5456.55,0,4549.73,198,463,488.98,908.26,773.56,5456.55,0,20050.75,989,1600,1647.05,3289.96,2359.46,5456.55,0,15773.68,945,2162,1859.93,3779.87,3428.97,5456.55,0,13719.76,894,1949,2444.04,3224.89,3384.09,5456.55,0
357,3775.67,198,397,323.42,323.05,1335.08,3278.38,0,3849.73,189,363,356.82,307.64,1201.56,3278.38,0,3021.78,228,461,281.76,267.19,1412.1,3278.38,0,15753.41,745,1458,1274.11,1503.66,5871.32,3278.38,0,17645.97,688,1600,1559.7,987.41,5053.47,3278.38,0,15144.37,630,1256,1394.18,1260.5,5243.06,3278.38,0
378,3942.95,187,540,303.41,1224.34,858.82,3958.7,0,4160.91,223,468,315.24,1072.43,703.55,3958.7,0,3917.47,187,492,245.5,1428.92,988.99,3958.7,0,16457.52,773,2516,1344.07,5120.32,3676.24,3958.7,0,15041.13,865,2527,1268.12,4448.54,3609.36,3958.7,0,14970.8,684,2548,1062.75,5336.68,3879.04,3958.7,0
396,4210.76,209,514,226.37,242.9,1104.92,5368.69,0,3792.77,192,500,265.2,281.31,1170.6,5368.69,0,3472.47,209,505,197.63,278.58,1170.32,5368.69,0,14640.77,732,1692,720.11,863.43,5155.79,5368.69,0,12757.5,958,2509,925.96,729.33,4702.75,5368.69,0,12879.07,788,2430,822.77,920.27,4399.21,5368.69,0
406,4221.35,221,361,1027.12,1444.34,1068.24,5473.68,0,3858.18,232,361,901.98,1347.05,906.02,5473.68,0,3989.47,217,424,879.92,1721.46,877.18,5473.68,0,14805.88,669,1519,3738.07,4772.13,4900.88,5473.68,0,17450.92,889,1735,4559.33,4562.84,5181.52,5473.68,0,19689.24,871,1378,4521.52,6686.14,5211.24,5473.68,0
432,3600.24,171,569,819.87,1729.05,1010.99,4491.28,0,3847.16,143,590,979.31,1744.88,843.69,4491.28,0,3985.43,163,541,805.88,1580.39,950.67,4491.28,0,15476.6,771,1866,2461.82,8643.56,4454.49,4491.28,0,17385.26,713,1948,3961.09,5603.51,3942.15,4491.28,0,16681.17,603,2574,3353.55,5216.29,4069.79,4491.28,0
