"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15"
"m1",-0.258703349219467,-0.336985486661054,-0.157638991042087,0.191427272980602,-0.234401668954067,-0.00438357731377966,-0.115550311946841,0.255735511929004,0.0741972787350786,0.000734145343341574,-0.10873119307564,-0.0954725736998757,0.751390811531225,0.182096444877901,0.0106063672120445
"s1",-0.298559466286666,-0.191319920639642,-0.143767713750016,0.248308578968071,-0.194284178570222,-0.00405310531742659,-0.163677823928351,0.546289380788165,0.282950178882457,0.00127950695620348,0.215789457948926,0.183667310354262,-0.515678404870785,-0.0483079582722205,0.0181177215157475
"m2",-0.28548307473215,-0.297365115713881,-0.139011839807272,0.150585436603641,-0.0469319587561251,0.00337120184463052,0.0230315454585788,-0.209151594352487,-0.307105719884179,0.00688794989004342,-0.199136217328513,-0.192977442099423,-0.0896534181285888,-0.695176286531,-0.28110429279129
"s2",-0.320688834056417,0.0360661037175835,-0.080361465290851,0.226272423771708,0.332285791887244,0.000346356071396681,0.0359351275610459,-0.0349417449566725,-0.61242712099033,-0.0269124730216286,0.509407766881856,0.199563909764552,0.0612208427816691,0.2053632519242,0.0651088551914865
"m3",-0.298033355445091,-0.251700671431162,-0.0826486995329967,0.206349198510865,0.0660405420457923,-0.00525161540079935,0.19926745194847,-0.36673814321467,0.0695043139468703,0.000552458246298342,-0.386832838611466,-0.201385154852434,-0.333494625352818,0.556073107138671,0.0660002266474621
"s3",-0.288024276136609,0.210657348223616,-0.0168712971098627,0.251369673613975,0.439843661479726,-0.00679573456711988,0.254244363941634,-0.203152110006597,0.601351708735508,0.0158511334732109,0.0992108772986764,0.175734340000516,0.210817615487991,-0.250027149369058,0.0147106996789268
"m4",-0.261497800608124,-0.221412750093356,0.0183704500669306,-0.495980449412294,-0.0837745473626066,0.453263351102528,-0.0476401226399686,-0.200087969278298,0.0961119335352277,0.552829199898544,0.186128446663115,0.170761861222284,0.00894552412509309,0.0345547869890624,-0.0394398545301715
"s4",-0.283129444217403,0.194590768715621,0.0421385181279568,-0.280325823438717,0.0872678632882626,0.539802133283937,0.325711483381684,0.349338473506653,-0.0879073015228505,-0.459625159071303,-0.190223980888105,-0.13531024520442,0.00000534176234703865,-0.0179659504675586,0.0262065780380361
"m5",-0.261703167630746,-0.219928236422596,0.019966395292105,-0.500549455723067,-0.090640814999147,-0.438957624014731,-0.0879997281043797,-0.228029806147142,0.123497304981592,-0.542746496395481,0.177757276101267,0.168187386278095,0.00832427596723009,0.0159561685825523,-0.0389824058345245
"s5",-0.280670151766354,0.197105186591115,0.043008622888272,-0.286249319178633,0.0764222477460202,-0.556984111384492,0.335445194635674,0.349421712255922,-0.117823316163226,0.432275300822304,-0.173711839113615,-0.127897601025234,-0.00133424632901516,-0.00909277976023153,0.0230737357619702
"m6",-0.232891987873204,0.372724933658244,-0.0965750625543083,0.0791641893931173,-0.505226482051807,0.00774781960060155,-0.0322013731070756,-0.244980846351851,-0.0699061396376895,0.00576445187911673,-0.0278482361645836,0.0394761218027022,0.00515211083618183,-0.161903294181575,0.664367486570906
"s6",-0.172405200554467,0.47190959671569,0.00505532251363597,0.123527375734663,-0.450976601407593,0.00588303130102021,0.0662344493246925,-0.133466755630002,0.026756712936779,-0.00463386055535185,0.122862902652063,0.00234401573725356,0.0156589519022508,0.190346068620885,-0.674064772907489
"m7",-0.222554020003395,0.340022089028233,-0.244835263186025,-0.129001055897309,0.329647617743215,0.00534023919943851,-0.745429017618487,0.0117853949814996,0.000638202594952874,0.0229285031251753,-0.279917306998201,-0.0882344164808651,-0.0214037275531694,0.0499341128386562,-0.0644441851921954
"m8",0.187724927770878,0.0121952554117024,-0.630381731128888,-0.0748261584654009,-0.0206528956204775,-0.00217900626084131,0.211667557633325,0.0159959064009031,-0.0985798201411083,-0.00883730031182493,-0.31572383191754,0.6321267245628,0.018354609939788,0.0194392277752073,-0.0797724521354315
"s8",0.152545756670315,0.0297758568466898,-0.671225617294565,-0.145680297440612,0.021248537845713,-0.001449343069239,0.138461935094098,-0.032324223481041,0.131065011525244,-0.00221660289470429,0.395562916052178,-0.554617061558001,-0.0286586372681019,0.0127486110065522,0.0341986486926803
